,skill,coeff_linear_regression
81,PlatformHaveWorkedWith_Cloudflare,2506.142969035229
128,WebframeHaveWorkedWith_Phoenix,2435.3281151099336
195,MiscTechHaveWorkedWith_Tidyverse,2415.7660983393994
282,OpSysProfessional use_Ubuntu,2382.484673407085
210,ToolsTechHaveWorkedWith_Gradle,2258.124099999879
164,MiscTechHaveWorkedWith_Apache Kafka,2142.923270058109
181,MiscTechHaveWorkedWith_OpenCL,2097.6081657599934
69,DatabaseHaveWorkedWith_Neo4J,2097.2902807487685
239,NEWCollabToolsHaveWorkedWith_Emacs,2082.8868978128066
232,ToolsTechHaveWorkedWith_pnpm,2045.8726465538246
149,EmbeddedHaveWorkedWith_MSVC,1963.7397531207655
103,PlatformHaveWorkedWith_VMware,1815.4987570863134
107,WebframeHaveWorkedWith_ASP.NET CORE,1807.092355795949
235,NEWCollabToolsHaveWorkedWith_CLion,1730.0768551696842
176,MiscTechHaveWorkedWith_JAX,1696.5548937499032
308,OfficeStackAsyncHaveWorkedWith_Stack Overflow for Teams,1690.5748754080366
216,ToolsTechHaveWorkedWith_Ninja,1672.6568766983544
148,EmbeddedHaveWorkedWith_LLVM's Clang,1638.4432526839335
275,OpSysProfessional use_Fedora,1632.880621312251
297,OfficeStackAsyncHaveWorkedWith_Lucid,1539.578623749994
48,DatabaseHaveWorkedWith_Clickhouse,1138.8328200742678
52,DatabaseHaveWorkedWith_Couch DB,1015.3688165101757
16,LanguageHaveWorkedWith_Go,973.9142437752142
56,DatabaseHaveWorkedWith_DuckDB,942.7415265094511
221,ToolsTechHaveWorkedWith_Podman,893.4768238256295
87,PlatformHaveWorkedWith_Google Cloud,891.3261658579449
119,WebframeHaveWorkedWith_Fastify,857.3248416205772
45,LanguageHaveWorkedWith_Zig,814.8822376086991
39,LanguageHaveWorkedWith_Scala,756.6539867466261
53,DatabaseHaveWorkedWith_Couchbase,704.0591658387931
170,MiscTechHaveWorkedWith_Electron,634.5516159439139
259,NEWCollabToolsHaveWorkedWith_Spacemacs,623.0214696226507
84,PlatformHaveWorkedWith_Digital Ocean,602.2408300296948
122,WebframeHaveWorkedWith_Htmx,431.4554822339792
184,MiscTechHaveWorkedWith_Pandas,395.091847555941
50,DatabaseHaveWorkedWith_Cockroachdb,350.43443776110274
285,OpSysProfessional use_iOS,336.25074626466346
222,ToolsTechHaveWorkedWith_Pulumi,321.3638202886304
300,OfficeStackAsyncHaveWorkedWith_Microsoft Planner,286.09395070217
3,LanguageHaveWorkedWith_Bash/Shell (all shells),267.6494150222208
29,LanguageHaveWorkedWith_Objective-C,266.63308693470566
78,DatabaseHaveWorkedWith_TiDB,265.68892894332225
100,PlatformHaveWorkedWith_Render,246.8270187024676
292,OfficeStackAsyncHaveWorkedWith_Confluence,222.27043329901267
110,WebframeHaveWorkedWith_Astro,214.70872741977263
230,ToolsTechHaveWorkedWith_Yarn,160.8068456798841
131,WebframeHaveWorkedWith_Ruby on Rails,149.72950579495676
241,NEWCollabToolsHaveWorkedWith_Geany,17.412770571575972
101,PlatformHaveWorkedWith_Scaleway,7.236452368396279
276,OpSysProfessional use_Haiku,0.0
274,OpSysProfessional use_Debian,0.0
33,LanguageHaveWorkedWith_Prolog,0.0
32,LanguageHaveWorkedWith_PowerShell,0.0
31,LanguageHaveWorkedWith_Perl,0.0
30,LanguageHaveWorkedWith_PHP,0.0
2,LanguageHaveWorkedWith_Assembly,0.0
4,LanguageHaveWorkedWith_C,0.0
284,OpSysProfessional use_Windows Subsystem for Linux (WSL),0.0
283,OpSysProfessional use_Windows,0.0
278,OpSysProfessional use_Other (please specify):,0.0
299,OfficeStackAsyncHaveWorkedWith_Microsoft Lists,0.0
298,OfficeStackAsyncHaveWorkedWith_Markdown File,0.0
295,OfficeStackAsyncHaveWorkedWith_Jira,0.0
294,OfficeStackAsyncHaveWorkedWith_GitHub Discussions,0.0
293,OfficeStackAsyncHaveWorkedWith_Doxygen,0.0
291,OfficeStackAsyncHaveWorkedWith_Clickup,0.0
290,OfficeStackAsyncHaveWorkedWith_Basecamp,0.0
83,PlatformHaveWorkedWith_Databricks,0.0
82,PlatformHaveWorkedWith_Colocation,0.0
79,PlatformHaveWorkedWith_Alibaba Cloud,0.0
77,DatabaseHaveWorkedWith_Supabase,0.0
5,LanguageHaveWorkedWith_C#,0.0
8,LanguageHaveWorkedWith_Cobol,0.0
108,WebframeHaveWorkedWith_Angular,0.0
109,WebframeHaveWorkedWith_AngularJS,0.0
104,PlatformHaveWorkedWith_Vercel,0.0
106,WebframeHaveWorkedWith_ASP.NET,0.0
102,PlatformHaveWorkedWith_Supabase,0.0
99,PlatformHaveWorkedWith_PythonAnywhere,0.0
98,PlatformHaveWorkedWith_Oracle Cloud Infrastructure (OCI),0.0
105,PlatformHaveWorkedWith_Vultr,0.0
96,PlatformHaveWorkedWith_OpenShift,0.0
95,PlatformHaveWorkedWith_OVH,0.0
126,WebframeHaveWorkedWith_Node.js,0.0
125,WebframeHaveWorkedWith_Next.js,0.0
124,WebframeHaveWorkedWith_NestJS,0.0
123,WebframeHaveWorkedWith_Laravel,0.0
121,WebframeHaveWorkedWith_Gatsby,0.0
97,PlatformHaveWorkedWith_OpenStack,0.0
118,WebframeHaveWorkedWith_FastAPI,0.0
117,WebframeHaveWorkedWith_Express,0.0
116,WebframeHaveWorkedWith_Elm,0.0
115,WebframeHaveWorkedWith_Drupal,0.0
114,WebframeHaveWorkedWith_Django,0.0
113,WebframeHaveWorkedWith_Deno,0.0
112,WebframeHaveWorkedWith_CodeIgniter,0.0
111,WebframeHaveWorkedWith_Blazor,0.0
142,EmbeddedHaveWorkedWith_Boost.Test,0.0
141,EmbeddedHaveWorkedWith_Arduino,0.0
140,WebframeHaveWorkedWith_jQuery,0.0
139,WebframeHaveWorkedWith_Yii 2,0.0
138,WebframeHaveWorkedWith_WordPress,0.0
137,WebframeHaveWorkedWith_Vue.js,0.0
136,WebframeHaveWorkedWith_Symfony,0.0
120,WebframeHaveWorkedWith_Flask,0.0
135,WebframeHaveWorkedWith_Svelte,0.0
134,WebframeHaveWorkedWith_Strapi,0.0
133,WebframeHaveWorkedWith_Spring Boot,0.0
132,WebframeHaveWorkedWith_Solid.js,0.0
130,WebframeHaveWorkedWith_React,0.0
129,WebframeHaveWorkedWith_Play Framework,0.0
127,WebframeHaveWorkedWith_Nuxt.js,0.0
159,EmbeddedHaveWorkedWith_cppunit,0.0
158,EmbeddedHaveWorkedWith_build2,0.0
157,EmbeddedHaveWorkedWith_ZMK,0.0
156,EmbeddedHaveWorkedWith_SCons,0.0
155,EmbeddedHaveWorkedWith_Rasberry Pi,0.0
154,EmbeddedHaveWorkedWith_QMake,0.0
153,EmbeddedHaveWorkedWith_PlatformIO,0.0
152,EmbeddedHaveWorkedWith_Ninja,0.0
151,EmbeddedHaveWorkedWith_Micronaut,0.0
150,EmbeddedHaveWorkedWith_Meson,0.0
66,DatabaseHaveWorkedWith_Microsoft SQL Server,0.0
64,DatabaseHaveWorkedWith_MariaDB,0.0
63,DatabaseHaveWorkedWith_InfluxDB,0.0
62,DatabaseHaveWorkedWith_IBM DB2,0.0
61,DatabaseHaveWorkedWith_H2,0.0
94,PlatformHaveWorkedWith_Netlify,0.0
93,PlatformHaveWorkedWith_Microsoft Azure,0.0
91,"PlatformHaveWorkedWith_Linode, now Akamai",0.0
90,PlatformHaveWorkedWith_IBM Cloud Or Watson,0.0
89,PlatformHaveWorkedWith_Hetzner,0.0
88,PlatformHaveWorkedWith_Heroku,0.0
86,PlatformHaveWorkedWith_Fly.io,0.0
85,PlatformHaveWorkedWith_Firebase,0.0
28,LanguageHaveWorkedWith_OCaml,0.0
27,LanguageHaveWorkedWith_MicroPython,0.0
145,EmbeddedHaveWorkedWith_Cargo,0.0
146,EmbeddedHaveWorkedWith_Catch2,0.0
144,EmbeddedHaveWorkedWith_CUTE,0.0
143,EmbeddedHaveWorkedWith_CMake,0.0
175,MiscTechHaveWorkedWith_Ionic,0.0
174,MiscTechHaveWorkedWith_Hugging Face Transformers,0.0
34,LanguageHaveWorkedWith_Python,0.0
177,MiscTechHaveWorkedWith_Keras,0.0
171,MiscTechHaveWorkedWith_Flutter,0.0
169,MiscTechHaveWorkedWith_DirectX,0.0
168,MiscTechHaveWorkedWith_Cordova,0.0
167,MiscTechHaveWorkedWith_Capacitor,0.0
166,MiscTechHaveWorkedWith_CUDA,0.0
162,MiscTechHaveWorkedWith_.NET Framework (1.0 - 4.8),0.0
173,MiscTechHaveWorkedWith_Hadoop,0.0
172,MiscTechHaveWorkedWith_GTK,0.0
178,MiscTechHaveWorkedWith_Ktor,0.0
49,DatabaseHaveWorkedWith_Cloud Firestore,0.0
47,DatabaseHaveWorkedWith_Cassandra,0.0
46,DatabaseHaveWorkedWith_BigQuery,0.0
44,LanguageHaveWorkedWith_Visual Basic (.Net),0.0
43,LanguageHaveWorkedWith_VBA,0.0
42,LanguageHaveWorkedWith_TypeScript,0.0
41,LanguageHaveWorkedWith_Swift,0.0
38,LanguageHaveWorkedWith_SQL,0.0
35,LanguageHaveWorkedWith_R,0.0
199,ToolsTechHaveWorkedWith_APT,0.0
198,MiscTechHaveWorkedWith_mlflow,0.0
197,MiscTechHaveWorkedWith_Xamarin,0.0
196,MiscTechHaveWorkedWith_Torch/PyTorch,0.0
160,EmbeddedHaveWorkedWith_doctest,0.0
179,MiscTechHaveWorkedWith_MFC,0.0
191,MiscTechHaveWorkedWith_Spring Framework,0.0
190,MiscTechHaveWorkedWith_Scikit-Learn,0.0
189,MiscTechHaveWorkedWith_Ruff,0.0
305,OfficeStackAsyncHaveWorkedWith_Redmine,0.0
304,OfficeStackAsyncHaveWorkedWith_Obsidian,0.0
303,OfficeStackAsyncHaveWorkedWith_Notion,0.0
302,OfficeStackAsyncHaveWorkedWith_Monday.com,0.0
301,OfficeStackAsyncHaveWorkedWith_Miro,0.0
76,DatabaseHaveWorkedWith_Solr,0.0
74,DatabaseHaveWorkedWith_SQLite,0.0
73,DatabaseHaveWorkedWith_Redis,0.0
71,DatabaseHaveWorkedWith_PostgreSQL,0.0
70,DatabaseHaveWorkedWith_Oracle,0.0
68,DatabaseHaveWorkedWith_MySQL,0.0
67,DatabaseHaveWorkedWith_MongoDB,0.0
188,MiscTechHaveWorkedWith_Roslyn,0.0
187,MiscTechHaveWorkedWith_React Native,0.0
186,MiscTechHaveWorkedWith_RabbitMQ,0.0
185,MiscTechHaveWorkedWith_Qt,0.0
183,MiscTechHaveWorkedWith_Opencv,0.0
219,ToolsTechHaveWorkedWith_Pacman,0.0
218,ToolsTechHaveWorkedWith_NuGet,0.0
215,ToolsTechHaveWorkedWith_Maven (build tool),0.0
213,ToolsTechHaveWorkedWith_MSBuild,0.0
208,ToolsTechHaveWorkedWith_Godot,0.0
207,ToolsTechHaveWorkedWith_Docker,0.0
206,ToolsTechHaveWorkedWith_Dagger,0.0
205,ToolsTechHaveWorkedWith_Composer,0.0
204,ToolsTechHaveWorkedWith_Chocolatey,0.0
203,ToolsTechHaveWorkedWith_Chef,0.0
194,MiscTechHaveWorkedWith_TensorFlow,0.0
193,MiscTechHaveWorkedWith_Tauri,0.0
200,ToolsTechHaveWorkedWith_Ansible,0.0
202,ToolsTechHaveWorkedWith_Bun,0.0
233,NEWCollabToolsHaveWorkedWith_Android Studio,0.0
236,NEWCollabToolsHaveWorkedWith_Code::Blocks,0.0
229,ToolsTechHaveWorkedWith_Webpack,0.0
228,ToolsTechHaveWorkedWith_Vite,0.0
227,ToolsTechHaveWorkedWith_Visual Studio Solution,0.0
231,ToolsTechHaveWorkedWith_npm,0.0
225,ToolsTechHaveWorkedWith_Unity 3D,0.0
224,ToolsTechHaveWorkedWith_Terraform,0.0
223,ToolsTechHaveWorkedWith_Puppet,0.0
220,ToolsTechHaveWorkedWith_Pip,0.0
254,NEWCollabToolsHaveWorkedWith_Qt Creator,0.0
253,NEWCollabToolsHaveWorkedWith_PyCharm,0.0
252,NEWCollabToolsHaveWorkedWith_PhpStorm,0.0
226,ToolsTechHaveWorkedWith_Unreal Engine,0.0
251,NEWCollabToolsHaveWorkedWith_Notepad++,0.0
250,NEWCollabToolsHaveWorkedWith_Netbeans,0.0
247,NEWCollabToolsHaveWorkedWith_Kate,0.0
248,NEWCollabToolsHaveWorkedWith_Nano,0.0
246,NEWCollabToolsHaveWorkedWith_Jupyter Notebook/JupyterLab,0.0
240,NEWCollabToolsHaveWorkedWith_Fleet,0.0
238,NEWCollabToolsHaveWorkedWith_Eclipse,0.0
273,OpSysProfessional use_Cygwin,0.0
272,OpSysProfessional use_ChromeOS,0.0
270,OpSysProfessional use_Arch,0.0
269,OpSysProfessional use_Android,0.0
268,OpSysProfessional use_AIX,0.0
267,NEWCollabToolsHaveWorkedWith_Xcode,0.0
266,NEWCollabToolsHaveWorkedWith_WebStorm,0.0
265,NEWCollabToolsHaveWorkedWith_Visual Studio Code,0.0
264,NEWCollabToolsHaveWorkedWith_Visual Studio,0.0
262,NEWCollabToolsHaveWorkedWith_VSCodium,0.0
25,LanguageHaveWorkedWith_Lua,0.0
22,LanguageHaveWorkedWith_Julia,0.0
21,LanguageHaveWorkedWith_JavaScript,0.0
20,LanguageHaveWorkedWith_Java,0.0
19,LanguageHaveWorkedWith_Haskell,0.0
18,LanguageHaveWorkedWith_HTML/CSS,0.0
60,DatabaseHaveWorkedWith_Firebird,0.0
59,DatabaseHaveWorkedWith_Firebase Realtime Database,0.0
58,DatabaseHaveWorkedWith_Elasticsearch,0.0
57,DatabaseHaveWorkedWith_Dynamodb,0.0
55,DatabaseHaveWorkedWith_Datomic,0.0
54,DatabaseHaveWorkedWith_Databricks SQL,0.0
51,DatabaseHaveWorkedWith_Cosmos DB,0.0
261,NEWCollabToolsHaveWorkedWith_Sublime Text,0.0
260,NEWCollabToolsHaveWorkedWith_Spyder,0.0
257,NEWCollabToolsHaveWorkedWith_Rider,0.0
256,"NEWCollabToolsHaveWorkedWith_Rad Studio (Delphi, C++ Builder)",0.0
255,NEWCollabToolsHaveWorkedWith_RStudio,0.0
9,LanguageHaveWorkedWith_Dart,0.0
0,LanguageHaveWorkedWith_Ada,0.0
309,OfficeStackAsyncHaveWorkedWith_Trello,0.0
1,LanguageHaveWorkedWith_Apex,0.0
306,OfficeStackAsyncHaveWorkedWith_Shortcut,0.0
289,OfficeStackAsyncHaveWorkedWith_Azure Devops,0.0
288,OfficeStackAsyncHaveWorkedWith_Asana,0.0
17,LanguageHaveWorkedWith_Groovy,0.0
311,OfficeStackAsyncHaveWorkedWith_YouTrack,0.0
15,LanguageHaveWorkedWith_GDScript,0.0
14,LanguageHaveWorkedWith_Fortran,0.0
12,LanguageHaveWorkedWith_Erlang,0.0
10,LanguageHaveWorkedWith_Delphi,0.0
